"Name","Runtime","Notes","Tags","lr","schatten_coeff","topk_recon_coeff","grad_norm","out_recon_loss","param_match_loss","schatten_loss","topk_recon_loss","total_loss"
"hpsens_topk2.00e+00_topkrecon5.00e+00_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr5.00e-04_bs8192_ft40_hid10hid-layers0","1040","-","","0.0005","10","5","0.0013409277889877558","0.000007386258857877692","0.000012633381629711948","0.004967135842889547","0.0017363143851980567","0.05836556479334831"
"hpsens_topk2.00e+00_topkrecon5.00e+00_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr2.00e-03_bs8192_ft40_hid10hid-layers0","1090","-","","0.002","10","5","0.0013215388171374798","0.000012480915756896138","0.00002112436050083488","0.004972837399691343","0.0019142280798405409","0.059320639818906784"
"hpsens_topk2.00e+00_topkrecon5.00e+00_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr1.00e-03_bs8192_ft40_hid10hid-layers0","1249","-","","0.001","10","5","0.001405371818691492","0.00000948840443015797","0.000015351854017353617","0.004898072220385075","0.002097918651998043","0.05948566645383835"
"hpsens_topk2.00e+00_topkrecon1.00e+01_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr1.00e-03_bs8192_ft40_hid10hid-layers0","1252","-","","0.001","10","10","0.0021027459297329187","1.1512699238380721e-8","2.6926628038381754e-8","0.0055742464028298855","0.0009211526485159992","0.06495402008295059"
"hpsens_topk2.00e+00_topkrecon1.00e+01_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr2.00e-03_bs8192_ft40_hid10hid-layers0","1014","-","","0.002","10","10","0.0021737951319664717","2.2332041993422536e-8","5.439272143803464e-8","0.005711698438972235","0.0010159197263419628","0.0672762393951416"
"hpsens_topk2.00e+00_topkrecon1.00e+01_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr5.00e-04_bs8192_ft40_hid10hid-layers0","1049","-","","0.0005","10","10","0.002674629911780358","3.4148477379147835e-9","9.213476204195103e-9","0.005832298658788204","0.000959960394538939","0.06792259961366653"
"hpsens_topk2.00e+00_topkrecon1.50e+01_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr2.00e-03_bs8192_ft40_hid10hid-layers0","1008","-","","0.002","10","15","0.003528339322656393","2.997360581957764e-8","8.025386932786206e-8","0.006412695627659559","0.0010747138876467943","0.08024774491786957"
"hpsens_topk2.00e+00_topkrecon1.50e+01_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr1.00e-03_bs8192_ft40_hid10hid-layers0","1019","-","","0.001","10","15","0.0034719989635050297","1.3954885247358106e-8","3.8669732305152145e-8","0.006426838226616383","0.0011081964476034043","0.08089137077331543"
"hpsens_topk2.00e+00_topkrecon1.50e+01_schatp9.00e-01_schatten1.00e+01_C40_sd0_attr-gra_lr5.00e-04_bs8192_ft40_hid10hid-layers0","1005","-","","0.0005","10","15","0.00462101586163044","2.4356123784485813e-9","6.307256938953287e-9","0.006650810595601797","0.001085141091607511","0.0827852264046669"
"hpsens_topk2.00e+00_topkrecon5.00e+00_schatp9.00e-01_schatten1.50e+01_C40_sd0_attr-gra_lr5.00e-04_bs8192_ft40_hid10hid-layers0","1005","-","","0.0005","15","5","0.0016287812031805515","0.00008552816871087998","0.00011735589941963552","0.004142863675951958","0.004144642036408186","0.08298352360725403"
